Timestamp,Packet_Size,Protocol
20/02/2018 8:31,54,6
20/02/2018 8:31,66,6
20/02/2018 8:31,135,17
20/02/2018 8:31,54,6
20/02/2018 8:31,66,6
20/02/2018 8:31,135,17
20/02/2018 8:31,110,6
20/02/2018 8:31,78,6
20/02/2018 8:31,92,6
20/02/2018 8:31,135,17
20/02/2018 8:31,54,6
20/02/2018 8:31,66,6
20/02/2018 8:31,88,6
20/02/2018 8:31,102,6
20/02/2018 8:31,135,17
20/02/2018 8:31,54,6
20/02/2018 8:31,66,6
20/02/2018 8:31,54,6
20/02/2018 8:31,66,6
20/02/2018 8:31,135,17
20/02/2018 8:31,115,6
20/02/2018 8:31,75,6
20/02/2018 8:31,135,17
20/02/2018 8:31,54,6
20/02/2018 8:31,66,6
20/02/2018 8:31,98,6
20/02/2018 8:31,54,6
20/02/2018 8:31,66,6
20/02/2018 8:31,135,17
20/02/2018 8:31,135,17
20/02/2018 8:31,81,6
20/02/2018 8:31,105,6
20/02/2018 8:31,54,6
20/02/2018 8:31,66,6
20/02/2018 8:31,135,17
20/02/2018 8:31,54,6
20/02/2018 8:31,66,6
20/02/2018 8:31,91,6
20/02/2018 8:31,135,17
20/02/2018 8:31,54,6
20/02/2018 8:31,66,6
20/02/2018 8:31,135,17
20/02/2018 8:31,111,6
20/02/2018 8:31,77,6
20/02/2018 8:31,54,6
20/02/2018 8:31,66,6
20/02/2018 8:31,135,17
20/02/2018 8:31,54,6
20/02/2018 8:31,66,6
20/02/2018 8:31,83,6
20/02/2018 8:31,135,17
20/02/2018 8:31,99,6
20/02/2018 8:31,54,6
20/02/2018 8:31,66,6
20/02/2018 8:31,135,17
20/02/2018 8:31,54,6
20/02/2018 8:31,66,6
20/02/2018 8:31,107,6
20/02/2018 8:31,135,17
20/02/2018 8:31,72,6
20/02/2018 8:31,54,6
20/02/2018 8:31,66,6
20/02/2018 8:31,95,6
20/02/2018 8:31,135,17